AS_OF_DATE,REPORTING ENTITY,INVESTMENT _ID,TICKER,INVESTMENT_DESC,INVESTMENT_DESC_LONG,PUBLIC_PRIVATE_OTHER,ASSET CLASS,STRATEGY,GEOGRAPHY,ASSET SUB CLASS 3,EXECUTION, MARKET VALUE ,% ALLOCATION,MGMT_FEE_IN_BPS,MGMT_FEE_IN_DOLLARS
12/31/2023,DLC,1001,SPY  US,S&P 500 ETF,Top 500 stocks in the US,PUBLIC,EQUITY,PASSIVE,US,,ETF,"$100,000,000 ",10.00%,9,"$90,000 "
12/31/2023,DLC,1002,QQQ US,NASDAQ ETF,US Tech Stocks,PUBLIC,EQUITY,PASSIVE,US,,ETF,"$50,000,000 ",5.00%,20,"$100,000 "
12/31/2023,DLC,1003,B 0 06/20/24 Govt,TBILL,Treasury Bill,PUBLIC,CASH,CASH MANAGEMENT,US,,DIRECT,"$100,000,000 ",10.00%,0,$0 
12/31/2023,DLC,1004,EEM US,EMERGING MARKETS ETF,Diversified EM Stocks,PUBLIC,EQUITY,PASSIVE,EM,,ETF,"$25,000,000 ",2.50%,70,"$175,000 "
12/31/2023,DLC,1005,,CREDIT FUND 1,IG Fund Manager,PUBLIC,FIXED INCOME + CREDIT,ACTIVE,US,,FUND,"$7,500,000 ",0.80%,100,"$75,000 "
12/31/2023,DLC,1006,,CREDIT FUND 2,HY Fund Manager,PUBLIC,FIXED INCOME + CREDIT,ACTIVE,US,,FUND,"$22,500,000 ",2.30%,100,"$225,000 "
12/31/2023,DLC,1007,,PRIVATE EQUITY FUND 1,PE Manager LBO,PRIVATE,EQUITY,LBO,US,,FUND,"$50,000,000 ",5.00%,150,"$750,000 "
12/31/2023,DLC,1008,,PRIVATE EQUITY FUND 2,PE Manager Middle Market,PRIVATE,EQUITY,MIDDLE MARKET,US,,FUND,"$50,000,000 ",5.00%,150,"$750,000 "
12/31/2023,DLC,1009,,VENTURE EQUITY FUND 1,Early Stage AI Fund,PRIVATE,EQUITY,VENTURE,GLOBAL,,FUND,"$25,000,000 ",2.50%,100,"$250,000 "
12/31/2023,DLC,1010,,GROWTH EQUITY FUND 1,Growth Fund  Fintech,PRIVATE,EQUITY,GROWTH,GLOBAL,,FUND,"$25,000,000 ",2.50%,125,"$312,500 "
12/31/2023,DLC,1011,,REAL ESTATE FUND 1,Real Estate Hospitality Fund,PRIVATE,REAL ASSETS,REAL ESTATE,US,,FUND,"$50,000,000 ",5.00%,150,"$750,000 "
12/31/2023,DLC,1012,,PRIVATE CREDIT FUND 1,Private Credit Fund,PRIVATE,FIXED INCOME + CREDIT,ALTERNATIVE,US,,FUND,"$100,000,000 ",10.00%,100,"$1,000,000 "
12/31/2023,DLC,1013,JTSXX US,MONEY MARKET FUND 1,Money Market Fund,PUBLIC,CASH,CASH MANAGEMENT,US,,FUND,"$50,000,000 ",5.00%,20,"$100,000 "
12/31/2023,DLC,1014,,HEDGE FUND 1,Event Driven HF,PUBLIC,ABSOLUTE RETURN,HEDGE FUND,US,,FUND,"$50,000,000 ",5.00%,150,"$750,000 "
12/31/2023,DLC,1015,,HEDGE FUND 2,Long Only HF,PUBLIC,EQUITY,HEDGE FUND,GLOBAL,,FUND,"$25,000,000 ",2.50%,150,"$375,000 "
12/31/2023,DLC,1016,TSLA US,TESLA,Tesla common stock,PUBLIC,EQUITY,SINGLE NAME ,US,,DIRECT,"$20,000,000 ",2.00%,0,$0 
12/31/2023,DLC,1017,,OPEN AI,Private Investment  OpenAI,PRIVATE,EQUITY,GROWTH,US,,DIRECT,"$10,000,000 ",1.00%,0,$0 
12/31/2023,DLC,1018,,COMMODITY FUND 1,Commodity Fund 1,PRIVATE,REAL ASSETS,COMMODITIES,GLOBAL,,FUND,"$25,000,000 ",2.50%,100,"$250,000 "
12/31/2023,DLC,1019,XBTUSD,BITCOIN,Bitcoin ,PUBLIC,BLOCKCHAIN,CRYTPOCURRENCY,GLOBAL,,DIRECT,"$10,000,000 ",1.00%,0,$0 
12/31/2023,DLC,1020,,REAL ESTATE 1,High rise building,PRIVATE,REAL ASSETS,REAL ESTATE,US,,DIRECT,"$205,000,000 ",20.50%,0,$0 
12/31/2023,FOUNDATION,1021,SPY  US,S&P 500 ETF,Top 500 stocks in the US,PUBLIC,EQUITY,PASSIVE,US,,ETF,"$200,000,000 ",20.00%,9,"$180,000 "
12/31/2023,FOUNDATION,1022,QQQ US,NASDAQ ETF,US Tech Stocks,PUBLIC,EQUITY,PASSIVE,US,,ETF,"$150,000,000 ",15.00%,20,"$300,000 "
12/31/2023,FOUNDATION,1023,B 0 06/20/24 Govt,TBILL,Treasury Bill,PUBLIC,CASH,CASH MANAGEMENT,US,,DIRECT,"$100,000,000 ",10.00%,0,$0 
12/31/2023,FOUNDATION,1024,EEM US,EMERGING MARKETS ETF,Diversified EM Stocks,PUBLIC,EQUITY,PASSIVE,EM,,ETF,"$75,000,000 ",7.50%,70,"$525,000 "
12/31/2023,FOUNDATION,1025,,CREDIT FUND 1,IG Fund Manager,PUBLIC,FIXED INCOME + CREDIT,ACTIVE,US,,FUND,"$17,500,000 ",1.80%,100,"$175,000 "
12/31/2023,FOUNDATION,1026,,CREDIT FUND 2,HY Fund Manager,PUBLIC,FIXED INCOME + CREDIT,ACTIVE,US,,FUND,"$22,500,000 ",2.30%,100,"$225,000 "
12/31/2023,FOUNDATION,1027,,PRIVATE EQUITY FUND 1,PE Manager LBO,PRIVATE,EQUITY,LBO,US,,FUND,"$100,000,000 ",10.00%,150,"$1,500,000 "
